pseudoid,weightNet,vacuumed,quantum,quantumUnit,geometry,height,density,massInJar,massInJarTare,massInJarGross,dryWeightNet,dryWeightPercent,totalVaporizationAmount,totalVaporizationVolume,ashWeightNet,amountToAshing,ashConcentration,SrCarrierConcentration,SrCarrierVolume,sievedOrganicWeight,sievedRocksWeight,sievedDryWeight
51055,,0,29093.1,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
52642,,0,5441.8,m^3,g-7,0,1,,,,,,,,,,,,,,,
60026,,0,28689.6,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
61469,,0,5569.4,m^3,g-7,0,1,,,,,,,,,,,,,,,
77085,,0,1,m^2,g-3,1,0.12,0.17,11.3096,11.4794,,,33320,,,,,1,2.5,,,
58950,,0,,,,,,,,,,,,,,,,,,,,
78199,,0,0.07,m^2,g-3,1,0.09,0.129,12.0409,12.1698,,,7380,,,,,,,,,
70383,,0,0.07,m^2,g-3,1,0.09,0.121,12.0132,12.1338,,,8500,,,,,,,,,
67142,,0,0.07,m^2,g-3,1,0.08,0.113,12.0329,12.1456,,,8260,,,,,,,,,
74608,,0,,,,,,,,,,,,,,,,,,,,
60274,,0,0.5,m^2,g-3,20,0.34,9.34,11.47,20.81,,,,,,,,,,,,
58173,,0,0.5,m^2,g-3,1,1,,,,,,12.08,,,,,3.33,5,,,
60068,,0,,,,,,,,,,,1500,,,,,3.33,1.5,,,
75809,,0,6.4,m^3,g-2,1,1,,,,,,,,,,,,,,,
56622,,0,7,m^3,g-2,1,1,,,,,,,,,,,,,,,
67283,,0,6.2,m^3,g-2,1,1,,,,,,,,,,,,,,,
55137,,0,7.1,m^3,g-2,1,1,,,,,,,,,,,,,,,
54319,,0,6.9,m^3,g-2,1,1,,,,,,,,,,,,,,,
56209,,0,4.9,m^3,g-2,1,1,,,,,,,,,,,,,,,
68251,1187,0,0.48614,kg_tp,g-2,26,0.88,98.2,27.1,125.3,239.8,20.2,,,,,,,,,,
61101,546.7,0,0.42588,kg_tp,g-2,26,0.79,88.2,27.1,115.3,113.2,20.71,,,,,,,,,,
50462,517.1,0,0.43805,kg_tp,g-2,26,0.8,89.8,27.1,116.9,106,20.5,,,,,,,,,,
50003,637.3,0,0.49438,kg_tp,g-2,26,0.87,96.8,27.1,123.9,124.8,19.58,,,,,,,,,,
79281,528.6,0,0.4791,kg_tp,g-2,26,0.84,94,27.1,121.1,103.7,19.62,,,,,,,,,,
73613,527.5,0,0.46903,kg_tp,g-2,26,0.84,93.9,27.1,121,105.6,20.02,,,,,,,,,,
80038,489.6,0,0.40024,kg_tp,g-2,26,0.88,98.9,27.1,126,121,24.71,,,,,,,,,,
68117,,0,,,,,,,,,,,,,,,,,,,,
50344,,0,,,,,,,,,,,,,,,,,,,,
62343,,0,2.76359,litra,g-3,25,0.59,20.34,11.2,31.54,,,,4,29.42,,,,,,,
65373,,0,2.68054,litra,g-3,25,0.58,19.97,11.19,31.16,,,,5,37.26,,,,,,,
52805,,0,0.868,kg,g-1,30,1.6,868,132.2,1000.2,,,,,,,,,,,,
74044,,0,2.79586,litra,g-3,25,0.59,20.27,11.21,31.48,,,,5,36.24,,,,,,,
79018,,0,2.68775,litra,g-3,25,0.58,19.97,11.23,31.2,,,,4,29.73,,,,,,,
61575,,0,17808,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
51307,,0,17808,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
52849,,0,20824,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
60145,,0,20824,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
61508,,0,1,laaduton,g-2,1,1,,,,,,,,,,,,,,,
70163,,0,20550.7,m^3,g-13,0,1,,,,,,,,,,,,,,,
65630,,0,1,laaduton,g-3,1,1,,,,,,,,,,,,,,,
67976,,0,1,laaduton,g-3,1,1,,,,,,,,,,,,,,,
62056,,0,0.9639,kg,g-1,30,1.78,963.9,135.8,1099.7,,,,,,,,,,,,
56109,,0,28096.1,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
75351,,0,29362.3,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
66272,,0,,,,,,,,,,,1540,,,,,3.33,1.5,,,
55441,,0,,,,,,,,,,,1200,,,1200,,3.33,1.5,,,
58923,,0,,,,,,,,,,,740,,,740,,3.33,1.5,,,
78185,,0,,,,,,,,,,,1440,,,1440,,3.33,1.5,,,
72145,,0,,,,,,,,,,,1800,,,1800,,3.33,1.5,,,
75919,,0,,,,,,,,,,,1540,,,1540,,3.33,1.5,,,
51839,,0,,,,,,,,,,,1780,,,1780,,3.33,1.5,,,
73731,,0,,,,,,,,,,,1600,,,1600,,3.33,1.5,,,
77840,,0,13826,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
52476,,0,13826,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
71041,,0,19708,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
55351,,0,19708,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
75072,,0,0.5398,kg_tp,g-1,30,1,539.8,132.7,672.5,,,,,,,,,,,,
67315,,0,0.04188,m^3,g-3,6,0.74,6.147,11.0696,17.2168,,,41880,,,,,1,7.5,,,
61421,,0,,,,,,,,,,,41880,,,,,1,,,,
54875,,0,0.0414,m^3,g-3,4,0.8,4.438,11.1664,15.6042,,,41400,,,,,1,7.5,,,
70843,,0,,,,,,,,,,,41400,,,,,1,,,,
78019,,0,,,,,,,,,,,41400,,,,,1,,,,
66349,,0,1,m^2,g-3,1,0.21,0.294,11.916,12.21,,,16120,,,,,1,2.5,,,
78457,,0,1,m^2,g-3,1,0.14,0.194,11.4472,11.6409,,,13020,,,,,1,2.5,,,
50999,,0,0.07,m^2,g-3,1,0.12,0.17,12.053,12.2234,,,7360,,,,,,,,,
61905,,0,0.07,m^2,g-3,1,0.09,0.127,11.4259,11.5531,,,9880,,,,,,,,,
65092,692.3,0,0.1889,kg_kp,g-2,26,1.69,188.9,26.8,215.7,656.1,94.77,,,,,,,,,,
64390,,0,21621.2,m^3,g-11,0,1,,,,,,,,,,,,,,,
76727,2396.8,0,0.51616,kg_tp,g-2,26,0.96,107,27.1,134.1,496.8,20.73,,,12.72,220.37,5.77,,,,,
78933,2703,0,0.52489,kg_tp,g-2,26,0.95,106.5,27.1,133.6,548.5,20.29,,,14.15,220.98,6.4,,,,,
53057,1904.2,0,0.49233,kg_tp,g-2,26,0.89,99.5,27,126.5,384.9,20.21,,,12.98,220.77,5.88,,,,,
70675,1060.1,0,0.577238,kg_tp,g-2,26,0.95,,,,234.2,22.09,,,19.3,230.75,8.36,,,,,
51843,1073.6,0,0.53712,kg_tp,g-2,26,1.16,129.5,27,156.5,258.8,24.11,,,18.53,251.44,7.37,,,,,
58881,2889,0,0.43214,kg_tp,g-2,26,1.01,112.4,27.1,139.5,751.3,26.01,,,17.34,248.46,6.98,,,,,
57942,3537,0,0.45546,kg_tp,g-2,26,1.01,113,27.1,140.1,877.6,24.81,,,21.04,249.84,8.42,,,,,
63212,369.9,0,0.27475,kg_tp,g-2,26,0.84,93.8,27.1,120.9,126.3,34.14,,,,,,,,,,
61386,536.4,0,0.35617,kg_tp,g-2,26,0.82,91.5,27.1,118.6,137.8,25.69,,,,,,,,,,
67103,421.5,0,0.41193,kg_tp,g-2,26,0.8,89.8,27,116.8,91.9,21.8,,,,,,,,,,
70811,404.4,0,0.39199,kg_tp,g-2,23,0.8,79.3,27.1,106.4,81.8,20.23,,,,,,,,,,
71864,328,0,0.32845,kg_tp,g-2,24,0.69,71.7,27.1,98.8,71.6,21.83,,,,,,,,,,
66082,408.8,0,0.40314,kg_tp,g-2,23,0.81,79.7,27,106.7,80.8,19.77,,,,,,,,,,
65084,286.7,0,0.14709,kg_tp,g-3,25,0.85,29.3,11.6,40.9,57.1,19.92,,,,,,,,,,
77182,223.1,0,0.1556,kg_tp,g-3,25,0.85,29.3,11.4,40.7,42,18.83,,,,,,,,,,
