pseudoid,weightnet,vacuumed,quantum,quantumunit,geometry,height,density,massinjar,massinjartare,massinjargross,dryweightnet,dryweightpercent,totalvaporizationamount,totalvaporizationvolume,ashweightnet,amounttoashing,ashconcentration,srcarrierconcentration,srcarriervolume,sievedorganicweight,sievedrocksweight,sieveddryweight
64390,,0,21621.2,m^3,g-11,0.0,1.0,,,,,,,,,,,,,,,
62374,,0,0.09255,kg,g-3,10.0,6.68,92.549,0.0,92.5485,,,,,,,,,,,,
59183,,0,207795.0,m^3,g-14,0.0,1.0,,,,,,,,,,,,,,,
62587,,0,0.07474,kg,g-2,1.0,17.38,74.736,27.015,101.7515,,,,,,,,,,,,
74292,,0,0.05186,kg,g-2,1.0,12.06,51.855,27.015,78.8702,,,,,,,,,,,,
78734,,0,229640.0,m^3,g-14,0.0,1.0,,,,,,,,,,,,,,,
75095,,0,0.53096,kg,g-1,1.0,0.0,530.96,132.74,663.7,,,,,,,,,,,,
56427,,0,0.52538,kg,g-1,1.0,0.0,525.38,133.42,658.8,,,,,,,,,,,,
60984,,0,20847.7,m^3,g-11,0.0,1.0,,,,,,,,,,,,,,,
56395,1407.8,0,0.01118,kg_kp,g-3,11.0,1.0,,22.41,11.23,12.3,0.87,,,,,,,,,,
72900,,0,0.5413,kg,g-1,1.0,0.0,,,,,,,,,,,,,,,
51593,,0,0.5345,kg,g-1,1.0,0.0,,,,,,,,,,,,,,,
50993,,0,0.5437,kg,g-1,1.0,0.0,,,,,,,,,,,,,,,
55880,,0,193252.0,m^3,g-14,0.0,1.0,,,,,,,,,,,,,,,
61277,,0,1.0,laaduton,g-6,40.0,0.96,,,,,,,,,,,,,,,
59547,360.0,0,0.0554,kg_kp,g-2,25.0,1.0,,82.4,27.0,116.3,32.31,,,,,,,,,,
78059,,0,0.28345,kg,g-1,27.0,0.0,283.45,137.46,420.91,,,,,,,,,,,,
57661,,0,0.31478,kg,g-1,27.0,0.0,314.78,135.5,450.28,,,,,,,,,,,,
73989,,0,0.27521,kg,g-1,27.0,0.0,275.21,136.84,412.05,,,,,,,,,,,,
75481,,0,0.0004,kg,g-4,0.0,1.0,0.4,2.24,2.64,,,,,,,,,,,,
69845,,0,0.00035,kg,g-4,0.0,1.0,0.35,2.24,2.59,,,,,,,,,,,,
54492,,0,8e-05,kg,g-4,0.0,1.0,0.08,2.27,2.35,,,,,,,,,,,,
65934,,0,0.00022,kg,g-4,0.0,1.0,0.22,2.25,2.47,,,,,,,,,,,,
67656,,0,0.00012,kg,g-4,0.0,1.0,0.12,2.26,2.38,,,,,,,,,,,,
50258,,0,0.0003,kg,g-4,0.0,1.0,0.3,2.28,2.58,,,,,,,,,,,,
71786,,0,0.00043,kg,g-4,0.0,1.0,0.43,2.26,2.69,,,,,,,,,,,,
61641,,0,0.00034,kg,g-4,0.0,1.0,0.34,2.24,2.58,,,,,,,,,,,,
80301,,0,0.0002,kg,g-4,0.0,1.0,0.2,2.24,2.44,,,,,,,,,,,,
51594,,0,0.00035,kg,g-4,0.0,1.0,0.35,2.23,2.58,,,,,,,,,,,,
74063,,0,0.00052,kg,g-4,0.0,1.0,0.52,2.2,2.72,,,,,,,,,,,,
56378,,0,0.00044,kg,g-4,0.0,1.0,0.44,2.33,2.77,,,,,,,,,,,,
52393,,0,0.00013,kg,g-4,0.0,1.0,0.13,2.23,2.36,,,,,,,,,,,,
52015,,0,0.00036,kg,g-4,0.0,1.0,0.36,2.28,2.64,,,,,,,,,,,,
61195,,0,0.00038,kg,g-4,0.0,1.0,0.38,2.4,2.78,,,,,,,,,,,,
57882,,0,0.00052,kg,g-4,0.0,1.0,0.52,2.22,2.74,,,,,,,,,,,,
70617,,0,0.00033,kg,g-4,0.0,1.0,0.33,2.36,2.69,,,,,,,,,,,,
57645,,0,0.00015,kg,g-4,0.0,1.0,0.15,2.33,2.48,,,,,,,,,,,,
51338,,0,0.0046,kg,g-6,0.0,1.0,,,,,,,,,,,,,,,
57544,,0,0.00461,kg,g-6,0.0,1.0,,,,,,,,,,,,,,,
74892,,0,0.01,litra,g-4,28.0,1.0,,,,,,,,,,,,,,,
68414,,0,0.00073,kg,g-4,0.0,1.0,0.73,2.33,3.06,,,,,,,,,,,,
